gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,MonthlyCharges,InternetService_Fiber optic,Contract_One year,Contract_Two year
0,0,1,-0.4656833638455588,1,0,-0.0004737233752722791,False,True,False
0,0,0,0.8855367868020159,1,1,1.074753860742306,True,False,True
1,0,0,-1.2846046672683313,0,0,-1.3764991324160054,False,False,False
1,0,0,-1.1617664717549154,1,0,0.17734598528095805,True,False,False
1,0,1,-1.32555073243947,1,1,-0.09852384310160459,False,False,True
1,0,0,-1.0389282762414995,1,0,0.15574172161244393,True,False,False
1,0,1,-0.015276646963033904,1,0,-1.5260671116595634,False,False,True
1,0,1,1.6225659598825113,1,0,-1.4978153822468916,False,False,True
1,0,0,-0.547575494187836,0,0,-0.8380544071391968,False,False,False
1,0,1,-0.9160900807280837,1,0,-1.4928297829387727,False,True,False
1,1,0,-0.4656833638455588,1,0,0.14078492368808804,True,False,False
0,1,0,0.5170222002617683,1,1,0.17236038597283926,False,False,False
1,1,0,-0.015276646963033904,1,0,-1.4978153822468916,False,True,False
0,0,0,0.3122918744060751,1,1,1.3589330213050659,True,True,False
0,0,0,0.5989143306040455,0,0,-0.7632704175174179,False,False,True
0,0,0,0.1485076137215206,0,0,-0.3910123358445623,False,False,True
0,0,1,1.4997277643690954,1,1,1.3373287576365518,True,True,False
0,0,0,1.5816198947113727,1,0,0.52633793684926,False,False,True
0,0,0,1.5816198947113727,1,1,-1.3366143379510567,False,False,True
1,0,0,0.10756154855038198,0,0,-0.38935046940852286,False,True,False
1,0,0,-1.202712536926054,1,0,-0.33949447632733687,False,False,False
1,1,0,1.6225659598825113,1,1,1.4902204697521892,True,False,True
1,0,1,1.6225659598825113,1,1,0.8553874911850873,False,False,True
0,0,1,1.4587816991979567,1,1,0.2704105056991718,False,True,False
0,0,0,0.39418400474835236,0,0,-0.33617074345525777,False,True,False
1,1,0,-0.4656833638455588,1,0,-1.474549252142338,False,True,False
0,1,0,-0.997982211070361,1,0,0.9052434842662732,True,False,False
1,1,0,-0.9160900807280837,1,0,0.34685636175699025,True,False,False
0,0,0,1.5816198947113727,1,1,1.3921703500258567,True,False,True
0,1,0,0.5579682654329069,1,0,0.8786536212896409,True,True,False
0,0,1,-1.202712536926054,1,0,0.5030718067447064,True,False,False
0,1,0,-0.8341979503858065,1,1,0.8786536212896409,True,False,False
0,0,0,-0.2609530379898657,0,0,-0.5655083116287133,False,True,False
1,0,0,-1.202712536926054,1,0,-0.48906245557089484,False,False,False
0,0,0,0.6808064609463228,1,0,0.31860463234431835,False,False,True
1,0,0,0.025669418208104724,1,0,0.5230142039771807,True,False,True
1,0,0,0.39418400474835236,1,1,0.9816893403240922,True,False,False
1,0,1,-0.05622271213417253,1,1,0.3451944953209508,False,True,False
1,1,1,1.4587816991979567,1,1,1.405465281514173,True,True,False
1,1,1,1.3768895688556795,1,1,1.7079249728733679,True,True,False
1,0,1,1.0493210474865704,1,0,-1.506124714427089,False,True,False
1,0,1,0.10756154855038198,1,0,-1.4878441836306542,False,False,True
1,0,0,-1.2846046672683313,1,0,-1.484520450758575,False,False,False
0,0,0,0.3122918744060751,1,0,0.3302376973965949,True,False,False
0,0,0,-0.7932518852146678,1,1,0.37676995760570203,False,False,False
1,0,0,1.0083749823154318,1,0,-0.30459528117050655,False,False,False
0,0,0,-1.2846046672683313,1,0,0.34685636175699025,True,False,False
1,0,0,-1.2846046672683313,1,0,-0.6369685683784132,False,False,False
0,0,0,0.5579682654329069,1,0,-0.349465674943574,False,False,True
0,1,1,0.3122918744060751,1,1,0.9866749396322104,True,False,False
1,0,1,-0.4656833638455588,1,1,0.41997848494272977,False,True,False
0,0,0,-1.0798743414126382,1,0,1.1063293230270572,True,False,False
1,0,1,1.090267112657709,1,1,1.5367527299612957,True,False,True
1,0,0,-0.7113597548723906,1,1,-0.20820702788021367,False,False,False
0,0,0,-0.22000697281872703,1,1,0.9866749396322104,True,False,False
1,0,0,1.5816198947113727,1,1,1.7095868393094074,True,True,False
0,0,0,0.5170222002617683,1,1,0.8121789638480595,True,False,False
1,0,0,-1.1617664717549154,1,0,-1.4679017863981798,False,False,False
0,0,0,-1.2846046672683313,1,0,-1.5044628479910496,False,False,False
1,0,1,0.5989143306040455,1,1,1.1462141174920055,True,False,False
1,0,0,0.06661548337924335,1,0,-0.5006955206231717,False,False,False
0,0,1,-0.5885215593589747,1,0,-0.34780380850753456,False,True,False
0,0,0,-0.997982211070361,1,0,-0.3527894078156531,False,True,False
1,0,0,-1.0389282762414995,0,0,-0.975989321330478,False,True,False
1,0,1,-1.1208204065837768,1,1,0.6526397859882644,True,False,False
0,0,0,0.2713458092349365,1,0,-0.18494089777566036,False,True,False
1,0,1,-0.13811484247644978,1,0,-1.4695636528342193,False,False,False
0,0,0,-1.2846046672683313,1,0,-0.3212139455309019,False,False,False
1,0,1,-0.05622271213417253,0,0,-1.32498127289878,False,False,False
1,0,0,-1.2436586020971927,0,0,-1.3482474030033336,False,False,False
1,0,0,1.2540513733422636,1,0,0.19728838251343225,False,True,False
1,0,0,-0.5066294290166974,1,0,0.46318701227975756,True,False,False
0,0,0,1.5816198947113727,1,1,0.6127549915233155,False,False,True
0,0,0,1.3768895688556795,1,0,-0.12345183964219758,False,False,True
1,0,0,-0.997982211070361,1,0,-0.6552490991748482,False,False,False
0,0,0,-1.2436586020971927,1,1,1.034869066277357,True,False,False
1,0,0,-1.202712536926054,0,0,-0.9892842528187943,False,False,False
0,0,0,0.5989143306040455,1,0,-1.4828585843225357,False,False,True
1,0,0,-1.2436586020971927,0,0,-0.5189760514196065,False,False,False
1,0,0,-1.2846046672683313,1,0,0.30364783441996246,True,False,False
0,0,0,-1.0389282762414995,1,0,-1.4828585843225357,False,True,False
1,0,1,1.4997277643690954,1,1,1.334005024764473,True,False,True
1,0,0,-1.1208204065837768,1,1,1.34397622338071,True,False,False
0,0,0,1.5816198947113727,1,0,-1.5044628479910496,False,False,True
0,0,0,-1.2846046672683313,1,0,0.3136190330361996,True,False,False
0,0,1,-0.7523058200435292,1,0,0.8238120289003366,True,False,False
0,0,0,-0.13811484247644978,1,0,-1.5127721801712473,False,False,False
1,0,0,0.9674289171442931,1,0,0.5628989984421295,False,False,True
1,1,0,-1.0798743414126382,1,0,1.0265597340971593,True,False,False
1,1,0,-1.2846046672683313,0,0,-0.8197738763427618,False,False,False
0,0,1,0.5579682654329069,1,0,0.8670205562373643,True,True,False
1,0,0,-0.5066294290166974,1,0,1.440364476671003,True,False,False
0,1,0,-0.5066294290166974,1,1,0.6958483133252922,True,False,False
